Note, Blocked=TRUE IPs will stop having their metrics updated as they have been blocked.						
						
TotalIps: 3138, TotalTxs: 4097594, AvgFees: 251711						
						
IP	TxCount	DupCount	AvgFee	MinFee	MaxFee	Blocked
202.8.8.182	817	4654	30040	5001	7505001	TRUE
15.204.133.168	770	3353	13661	5100	35000	TRUE
135.125.227.231	736	3571	127974	5880	20005000	FALSE
3.137.142.249	719	1379	168191	5000	20005000	FALSE
185.8.107.244	715	4456	266177	5878	740633	FALSE
51.195.72.142	711	3646	102464	5900	20005000	FALSE
130.61.145.201	709	2770	33259	5029	1605000	TRUE
202.8.11.28	699	3273	161109	5000	10005000	FALSE
51.38.103.216	690	3839	116801	5880	10005155	FALSE
132.145.127.227	687	4569	19938	5010	275000	TRUE
51.75.154.84	677	3277	175047	5900	10005138	FALSE
3.19.209.24	670	1388	89973	5002	10005000	FALSE
51.195.72.165	667	3220	135778	5900	20005000	FALSE
34.78.24.193	665	522	15918	12809	55000	TRUE
135.125.227.202	662	3599	150691	5880	20005000	FALSE
18.216.49.91	661	1242	292131	5000	100005000	FALSE
51.89.9.110	660	2632	69817	5880	10005102	FALSE
204.16.245.182	657	2934	122864	5000	20005000	FALSE
130.61.36.206	657	1301	31819	5001	10005000	TRUE
51.195.72.161	655	3535	133118	5900	10005104	FALSE
54.38.218.56	647	2645	122284	5900	20005000	FALSE
54.37.95.46	645	2810	139355	5900	10005157	FALSE
130.61.39.78	643	2414	89220	5000	20005000	TRUE
130.61.81.52	642	2818	42813	5000	10005000	TRUE
103.106.59.41	642	3220	12105	12101	12353	TRUE
54.37.197.136	640	2774	107968	5900	20005000	FALSE
158.101.138.130	636	3005	7320	5010	275000	TRUE
202.8.9.99	634	2128	5443	5001	101900	TRUE
54.38.217.141	628	3597	105663	5880	10005159	FALSE
51.89.9.87	615	2969	157197	5900	10005145	FALSE
45.129.84.179	613	2038	18449	9584	30100	TRUE
51.38.121.163	611	2827	192620	5880	20005000	FALSE
18.216.218.212	602	1586	225222	5000	40005000	FALSE
3.138.184.47	600	1387	198980	5000	20005000	FALSE
51.77.79.255	599	2672	110502	5880	10005149	FALSE
18.221.213.107	598	1246	145167	5000	12005000	FALSE
162.19.222.94	585	2898	265801	5900	50005000	FALSE
141.148.235.4	583	2562	61910	5000	10005000	TRUE
204.16.245.179	575	2579	86294	5000	5010000	FALSE
51.75.154.103	572	3002	233956	5900	20005000	FALSE
18.223.23.171	566	1243	179962	5000	10005000	FALSE
54.37.197.132	566	2839	148498	5880	20005000	FALSE
54.37.197.142	563	2736	168958	5880	10005156	FALSE
51.89.9.88	561	2787	87096	5900	20005000	FALSE
51.89.9.89	557	2480	83089	5900	10005153	FALSE
54.37.197.139	544	2744	81584	5880	10005159	FALSE
3.73.182.132	544	3690	20814	5000	415000	TRUE
160.202.131.103	544	3858	31364	5001	1005001	TRUE
15.235.117.89	544	667	15541	6969	16155	TRUE
185.8.107.249	541	2802	690050	6079	740834	FALSE
155.248.187.84	538	1143	15761	5210	275000	TRUE
208.91.107.87	536	53	21445	8443	111470	TRUE
18.217.15.231	535	3140	42931	5000	7505001	TRUE
130.61.43.131	532	3260	52522	5000	2536995	TRUE
130.61.39.4	519	3000	11801	5190	119286	TRUE
158.178.146.141	515	2798	52587	5000	10005000	TRUE
74.118.142.77	511	2415	35466	5000	10005000	TRUE
35.76.125.0	509	5672	69340	5000	7505001	TRUE
3.250.137.36	508	4043	33897	5000	7505001	TRUE
141.148.236.160	506	2979	51905	5000	7505001	TRUE
108.181.93.162	501	3598	20202	5001	610000	TRUE
74.118.142.168	497	5685	112369	5000	10005000	TRUE
103.219.170.83	491	2682	43694	5000	10005000	TRUE
93.115.25.120	486	1443	22526	5000	431716	TRUE
130.61.236.51	483	1637	14284	5001	864361	TRUE
199.254.199.160	475	2806	22497	5000	1355000	TRUE
140.238.37.93	472	1505	15152	5163	100604	TRUE
202.8.8.46	460	1712	63433	5000	3505000	FALSE
147.28.184.245	460	2556	25936	5000	1355000	TRUE
132.145.136.180	457	2691	13432	5000	205000	TRUE
91.134.22.58	455	3906	35364	5000	1355155	TRUE
169.155.168.182	451	2681	46508	5000	10005000	TRUE
5.199.170.101	450	374	17214	5000	312085	TRUE
93.115.25.181	449	2107	25337	5000	2537037	TRUE
51.195.72.181	442	1319	59460	6969	10005135	TRUE
202.8.8.112	434	924	58865	5000	10005001	TRUE
45.129.84.121	432	806	19754	12218	30100	TRUE
160.202.131.105	430	1984	21981	5000	507570	TRUE
208.91.107.78	413	1491	353316	5000	50005001	FALSE
173.231.41.50	407	60	14818	8300	106328	TRUE
195.181.173.244	403	511	54974	15909	1505000	TRUE
155.248.186.3	402	1331	61570	5000	8005000	TRUE
74.118.136.252	401	1066	65019	5000	5010000	FALSE
84.32.189.40	401	1858	33124	5003	505000	TRUE
51.195.72.163	401	1184	51854	6969	10005085	TRUE
160.202.131.101	395	3602	27272	5000	705001	TRUE
140.83.33.184	393	1212	43815	5000	5088333	TRUE
145.40.114.251	391	1344	37797	5007	6505000	TRUE
64.176.203.134	382	611	134749	5000	20005001	FALSE
141.148.244.106	381	1121	42925	5000	3576429	TRUE
13.112.218.112	380	2537	22602	5003	1010140	TRUE
103.50.32.94	377	1745	49509	5003	2609942	TRUE
3.254.122.139	370	2339	78244	5000	20005000	FALSE
45.76.10.234	364	547	77705	5000	10005001	FALSE
45.129.84.189	363	123	19419	12208	30100	TRUE
84.32.34.97	363	4095	5145	5145	5233	TRUE
103.50.32.190	361	410	65947	5000	4005001	FALSE
49.12.72.31	361	15380	81999	16900	695000	TRUE
64.185.230.98	361	34	8458	8300	35100	TRUE
46.4.161.194	356	39	15159	8300	795860	TRUE
67.209.54.232	355	1075	101988	5000	5005001	FALSE
138.3.220.248	353	1508	26051	5000	1005000	TRUE
173.231.63.34	352	21	8346	8300	13316	TRUE
141.98.218.59	351	675	133844	5000	15105001	FALSE
51.195.72.139	351	1366	57213	6969	10005007	TRUE
34.141.167.34	350	2335	35768	5003	527007	TRUE
185.92.120.155	344	1513	91251	5000	20005000	TRUE
45.129.84.120	343	144	19210	12219	30100	TRUE
67.209.54.177	342	984	127797	5000	10005001	FALSE
45.129.84.110	342	198	20118	12402	30100	TRUE
51.195.72.162	338	1286	55677	6969	10005070	TRUE
64.176.205.0	332	495	115429	5000	21005000	FALSE
62.113.194.67	332	46	16641	8300	580474	TRUE
66.245.196.12	331	1269	59225	5057	9005001	TRUE
147.28.184.119	330	994	15752	5000	257000	TRUE
103.219.168.157	330	1582	32960	5000	1355000	TRUE
103.219.171.49	329	1172	13979	5000	529630	TRUE
138.2.100.156	326	1370	30638	5000	2588333	TRUE
208.115.224.218	325	753	217016	5000	11005000	FALSE
84.32.131.207	325	1620	5146	5143	6120	TRUE
15.235.84.91	322	1178	19485	5000	1009061	TRUE
136.244.93.186	321	1103	28562	5000	431078	TRUE
162.19.43.7	318	3267	32443	5000	2517850	TRUE
84.32.131.162	318	1618	5147	5143	6120	TRUE
141.148.232.70	316	802	52496	5001	10005000	TRUE
84.32.189.29	313	1707	32995	5000	1005001	TRUE
54.247.22.64	311	1314	16956	5000	577945	TRUE
216.173.114.185	309	32	9391	8300	79332	TRUE
199.254.199.54	308	796	152256	5000	12005000	FALSE
185.8.106.82	308	684	10193	5001	58000	TRUE
46.4.161.253	306	29	14898	8300	704092	TRUE
